Collision year,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted),Slight collisions (unadjusted),Slight collisions (adjusted) ,Total collisions,,,,,,,,,,,,,,,,,,,,,,,,
1979,"1,340","5,370",[z],"11,630",[z],"18,340",,,,,,,,,,,,,,,,,,,,,,,,
1980,"1,220","5,180",[z],"11,000",[z],"17,410",,,,,,,,,,,,,,,,,,,,,,,,
1981,"1,150","4,680",[z],"10,180",[z],"16,020",,,,,,,,,,,,,,,,,,,,,,,,
1982,"1,250","5,150",[z],"11,230",[z],"17,630",,,,,,,,,,,,,,,,,,,,,,,,
1983,900,"4,430",[z],"10,560",[z],"15,900",,,,,,,,,,,,,,,,,,,,,,,,
1984,960,"4,520",[z],"10,670",[z],"16,150",,,,,,,,,,,,,,,,,,,,,,,,
1985,860,"4,590",[z],"10,550",[z],"16,000",,,,,,,,,,,,,,,,,,,,,,,,
1986,790,"4,300",[z],"10,600",[z],"15,690",,,,,,,,,,,,,,,,,,,,,,,,
1987,730,"3,910",[z],"9,660",[z],"14,300",,,,,,,,,,,,,,,,,,,,,,,,
1988,660,"3,410",[z],"9,300",[z],"13,370",,,,,,,,,,,,,,,,,,,,,,,,
1989,670,"3,140",[z],"9,300",[z],"13,110",,,,,,,,,,,,,,,,,,,,,,,,
1990,590,"2,640",[z],"8,670",[z],"11,910",,,,,,,,,,,,,,,,,,,,,,,,
1991,530,"2,370",[z],"7,570",[z],"10,470",,,,,,,,,,,,,,,,,,,,,,,,
1992,510,"2,120",[z],"6,980",[z],"9,610",,,,,,,,,,,,,,,,,,,,,,,,
1993,430,"1,680",[z],"6,310",[z],"8,420",,,,,,,,,,,,,,,,,,,,,,,,
1994,450,"1,870",[z],"6,350",[z],"8,670",,,,,,,,,,,,,,,,,,,,,,,,
1995,420,"1,910",[z],"6,620",[z],"8,950",,,,,,,,,,,,,,,,,,,,,,,,
1996,450,"1,930",[z],"7,210",[z],"9,590",,,,,,,,,,,,,,,,,,,,,,,,
1997,440,"1,900",[z],"7,000",[z],"9,340",,,,,,,,,,,,,,,,,,,,,,,,
1998,370,"1,600",[z],"6,710",[z],"8,690",,,,,,,,,,,,,,,,,,,,,,,,
1999,370,"1,640",[z],"7,450",[z],"9,460",,,,,,,,,,,,,,,,,,,,,,,,
2000,410,"1,700",[z],"8,020",[z],"10,130",,,,,,,,,,,,,,,,,,,,,,,,
2001,430,"1,790",[z],"8,330",[z],"10,540",,,,,,,,,,,,,,,,,,,,,,,,
2002,440,"1,830",[z],"8,920",[z],"11,190",,,,,,,,,,,,,,,,,,,,,,,,
2003,460,"1,720",[z],"8,340",[z],"10,530",,,,,,,,,,,,,,,,,,,,,,,,
2004,470,"1,550",[z],"7,460",[z],"9,470",,,,,,,,,,,,,,,,,,,,,,,,
2005,440,"1,350","1,910","6,660","6,100","8,450",,,,,,,,,,,,,,,,,,,,,,,,
2006,450,"1,300","1,820","6,110","5,580","7,850",,,,,,,,,,,,,,,,,,,,,,,,
2007,330,"1,230","1,740","6,100","5,590","7,660",,,,,,,,,,,,,,,,,,,,,,,,
2008,300,"1,080","1,520","5,590","5,140","6,970",,,,,,,,,,,,,,,,,,,,,,,,
2009,310,990,"1,410","5,140","4,720","6,440",,,,,,,,,,,,,,,,,,,,,,,,
2010,200,820,"1,140","4,260","3,930","5,270",,,,,,,,,,,,,,,,,,,,,,,,
2011,190,870,"1,230","4,330","3,970","5,390",,,,,,,,,,,,,,,,,,,,,,,,
2012,190,780,"1,100","4,250","3,930","5,220",,,,,,,,,,,,,,,,,,,,,,,,
2013,200,720,990,"3,500","3,220","4,410",,,,,,,,,,,,,,,,,,,,,,,,
2014,190,740,"1,010","3,450","3,180","4,380",,,,,,,,,,,,,,,,,,,,,,,,
2015,160,810,"1,060","3,510","3,260","4,490",,,,,,,,,,,,,,,,,,,,,,,,
2016,200,810,990,"3,780","3,590","4,790",,,,,,,,,,,,,,,,,,,,,,,,
2017,190,930,"1,060","3,370","3,240","4,490",,,,,,,,,,,,,,,,,,,,,,,,
2018,190,930,"1,050","3,590","3,470","4,710",,,,,,,,,,,,,,,,,,,,,,,,
2019,190,"1,060","1,130","2,950","2,870","4,190",,,,,,,,,,,,,,,,,,,,,,,,
2020,180,780,860,"2,670","2,580","3,620",,,,,,,,,,,,,,,,,,,,,,,,
