Collision year,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted),Slight collisions (unadjusted),Slight collisions (adjusted) ,Total collisions
1979,50,220,[z],600,[z],860
1980,60,230,[z],680,[z],970
1981,50,260,[z],710,[z],"1,020"
1982,60,280,[z],830,[z],"1,170"
1983,50,330,[z],870,[z],"1,240"
1984,40,280,[z],880,[z],"1,190"
1985,50,320,[z],930,[z],"1,290"
1986,50,300,[z],910,[z],"1,260"
1987,50,300,[z],900,[z],"1,250"
1988,30,250,[z],890,[z],"1,170"
1989,40,270,[z],"1,020",[z],"1,330"
1990,50,270,[z],960,[z],"1,290"
1991,40,220,[z],950,[z],"1,220"
1992,40,230,[z],910,[z],"1,180"
1993,20,190,[z],830,[z],"1,040"
1994,30,220,[z],960,[z],"1,210"
1995,30,240,[z],950,[z],"1,220"
1996,30,230,[z],"1,000",[z],"1,260"
1997,40,240,[z],"1,080",[z],"1,350"
1998,30,250,[z],"1,090",[z],"1,370"
1999,30,200,[z],"1,250",[z],"1,480"
2000,40,230,[z],"1,350",[z],"1,620"
2001,40,230,[z],"1,420",[z],"1,690"
2002,40,220,[z],"1,620",[z],"1,880"
2003,40,240,[z],"1,530",[z],"1,800"
2004,50,240,[z],"1,380",[z],"1,670"
2005,40,190,290,"1,360","1,260","1,590"
2006,50,170,260,"1,300","1,210","1,520"
2007,40,170,250,"1,400","1,320","1,600"
2008,50,200,300,"1,390","1,290","1,640"
2009,40,180,270,"1,360","1,270","1,580"
2010,20,170,240,"1,150","1,080","1,340"
2011,30,170,240,"1,080","1,010","1,280"
2012,20,180,250,"1,190","1,110","1,390"
2013,30,150,220,"1,060",990,"1,240"
2014,30,130,200,"1,050",980,"1,210"
2015,10,160,220,"1,050",990,"1,220"
2016,20,180,220,"1,030",990,"1,230"
2017,30,180,200,"1,000",970,"1,200"
2018,20,180,210,960,930,"1,160"
2019,20,230,240,870,860,"1,120"
2020,20,180,190,770,750,960
