Collision_year,Fatal_collisions,Serious_collisions_(unadjusted) ,Serious_collisions_(adjusted),Slight_collisions_(unadjusted),Slight_collisions_(adjusted) ,Total_collisions
1979,1340,5370,[z],11630,[z],18340
1980,1220,5180,[z],11000,[z],17410
1981,1150,4680,[z],10180,[z],16020
1982,1250,5150,[z],11230,[z],17630
1983,900,4430,[z],10560,[z],15900
1984,960,4520,[z],10670,[z],16150
1985,860,4590,[z],10550,[z],16000
1986,790,4300,[z],10600,[z],15690
1987,730,3910,[z],9660,[z],14300
1988,660,3410,[z],9300,[z],13370
1989,670,3140,[z],9300,[z],13110
1990,590,2640,[z],8670,[z],11910
1991,530,2370,[z],7570,[z],10470
1992,510,2120,[z],6980,[z],9610
1993,430,1680,[z],6310,[z],8420
1994,450,1870,[z],6350,[z],8670
1995,420,1910,[z],6620,[z],8950
1996,450,1930,[z],7210,[z],9590
1997,440,1900,[z],7000,[z],9340
1998,370,1600,[z],6710,[z],8690
1999,370,1640,[z],7450,[z],9460
2000,410,1700,[z],8020,[z],10130
2001,430,1790,[z],8330,[z],10540
2002,440,1830,[z],8920,[z],11190
2003,460,1720,[z],8340,[z],10530
2004,470,1550,[z],7460,[z],9470
2005,440,1350,1910,6660,6100,8450
2006,450,1300,1820,6110,5580,7850
2007,330,1230,1740,6100,5590,7660
2008,300,1080,1520,5590,5140,6970
2009,310,990,1410,5140,4720,6440
2010,200,820,1140,4260,3930,5270
2011,190,870,1230,4330,3970,5390
2012,190,780,1100,4250,3930,5220
2013,200,720,990,3500,3220,4410
2014,190,740,1010,3450,3180,4380
2015,160,810,1060,3510,3260,4490
2016,200,810,990,3780,3590,4790
2017,190,930,1060,3370,3240,4490
2018,190,930,1050,3590,3470,4710
2019,190,1060,1130,2950,2870,4190
2020,180,780,860,2670,2580,3620
