"Estimated number of reported drink-drive collisions involving a male driver in Great Britain [notes 1,2,5]",,,,,,,,"Estimated number of reported drink-drive collisions involving a female driver in Great Britain [notes 1,2,5]",,,,,,,,"Estimated number of casualties in drink-drive collisions involving a male driver in Great Britain [notes 1,2,4]",,,,,,,,"Estimated number of casualties in drink-drive collisions involving a female driver in Great Britain [notes 1,2,4]",,,,,,
Collision year,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted) [note 6],Slight collisions (unadjusted),Slight collisions (adjusted) [note 6],Total collisions [note 7],,Collision year,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted) [note 6],Slight collisions (unadjusted),Slight collisions (adjusted) [note 6],Total collisions [note 7],,Collision year,Killed,Serious injuries (unadjusted) ,Serious injuries (adjusted) [note 6],Slight injuries (unadjusted),Slight injuries (adjusted) [note 6],Total casualties [note 8],,Collision year,Killed,Serious injuries (unadjusted) ,Serious injuries (adjusted) [note 6],Slight injuries (unadjusted),Slight injuries (adjusted) [note 6],Total casualties [note 8]
1979,"1,340","5,370",[z],"11,630",[z],"18,340",,1979,50,220,[z],600,[z],860,,1979,"1,590","7,950",[z],"20,260",[z],"29,800",,1979,50,310,[z],970,[z],"1,340"
1980,"1,220","5,180",[z],"11,000",[z],"17,410",,1980,60,230,[z],680,[z],970,,1980,"1,380","7,620",[z],"19,140",[z],"28,130",,1980,70,340,[z],"1,080",[z],"1,490"
1981,"1,150","4,680",[z],"10,180",[z],"16,020",,1981,50,260,[z],710,[z],"1,020",,1981,"1,360","7,000",[z],"18,000",[z],"26,360",,1981,60,380,[z],"1,160",[z],"1,600"
1982,"1,250","5,150",[z],"11,230",[z],"17,630",,1982,60,280,[z],830,[z],"1,170",,1982,"1,470","7,620",[z],"19,300",[z],"28,390",,1982,80,400,[z],"1,360",[z],"1,840"
1983,900,"4,430",[z],"10,560",[z],"15,900",,1983,50,330,[z],870,[z],"1,240",,1983,"1,060","6,370",[z],"17,270",[z],"24,700",,1983,50,450,[z],"1,340",[z],"1,840"
1984,960,"4,520",[z],"10,670",[z],"16,150",,1984,40,280,[z],880,[z],"1,190",,1984,"1,130","6,470",[z],"18,050",[z],"25,650",,1984,40,350,[z],"1,380",[z],"1,780"
1985,860,"4,590",[z],"10,550",[z],"16,000",,1985,50,320,[z],930,[z],"1,290",,1985,980,"6,390",[z],"17,940",[z],"25,310",,1985,50,430,[z],"1,480",[z],"1,960"
1986,790,"4,300",[z],"10,600",[z],"15,690",,1986,50,300,[z],910,[z],"1,260",,1986,930,"6,060",[z],"17,760",[z],"24,750",,1986,60,390,[z],"1,470",[z],"1,930"
1987,730,"3,910",[z],"9,660",[z],"14,300",,1987,50,300,[z],900,[z],"1,250",,1987,840,"5,510",[z],"16,220",[z],"22,580",,1987,50,390,[z],"1,460",[z],"1,900"
1988,660,"3,410",[z],"9,300",[z],"13,370",,1988,30,250,[z],890,[z],"1,170",,1988,760,"4,760",[z],"15,500",[z],"21,020",,1988,30,360,[z],"1,390",[z],"1,780"
1989,670,"3,140",[z],"9,300",[z],"13,110",,1989,40,270,[z],"1,020",[z],"1,330",,1989,780,"4,480",[z],"15,080",[z],"20,340",,1989,40,340,[z],"1,610",[z],"1,990"
