"RAS2022: Estimated number of reported road collisions involving a car drink driver, by driver age, collisions per licence holder and per mile driven: GB 2010-2020 [note 1]",,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
Collision year,Age group,Fatalities,Serious injuries (unadjusted) ,Serious injuries (adjusted) [note 3],Slight injuries (unadjusted),Slight injuries (adjusted) [note 3],Total casualties,Drink-drive collisions per 100 thousand licence holders,Drink drive collisions  per billion miles driven
2020,Under 20, - , 50 , 50 , 140 , 140 , 190 ,15,62
2020,20-24, 30 , 140 , 150 , 480 , 460 , 650 ,21,87
2020,25-29, 30 , 130 , 150 , 540 , 520 , 700 ,21,44
2020,30-34, 20 , 120 , 140 , 540 , 530 , 690 ,20,37
2020,35-39, 20 , 90 , 100 , 380 , 370 , 490 ,15,23
2020,40-49, 20 , 130 , 140 , 510 , 500 , 660 ,10,15
2020,50-59, 20 , 80 , 90 , 320 , 310 , 410 ,6,9
2020,60 or over, 10 , 30 , 40 , 160 , 160 , 200 ,2,4
2020,All ages [note 2], 150 , 780 , 870 ," 3,090 "," 3,010 "," 4,020 ",10,19
2019,Under 20, - , 70 , 70 , 170 , 160 , 230 ,18,72
2019,20-24, 30 , 170 , 180 , 530 , 520 , 730 ,26,56
2019,25-29, 30 , 220 , 240 , 640 , 620 , 890 ,29,48
2019,30-34, 30 , 200 , 220 , 590 , 570 , 820 ,25,31
2019,35-39, 10 , 130 , 140 , 460 , 460 , 610 ,19,22
2019,40-49, 20 , 140 , 150 , 500 , 490 , 670 ,10,11
2019,50-59, 10 , 100 , 110 , 350 , 340 , 460 ,7,7
2019,60 or over, 20 , 50 , 60 , 190 , 190 , 260 ,3,4
2019,All ages [note 2], 150 ," 1,110 "," 1,180 "," 3,490 "," 3,410 "," 4,740 ",13,17
2018,Under 20, 10 , 50 , 50 , 230 , 220 , 280 ,22,74
2018,20-24, 20 , 160 , 190 , 650 , 630 , 840 ,30,70
2018,25-29, 40 , 180 , 210 , 820 , 790 ," 1,040 ",33,46
2018,30-34, 30 , 150 , 170 , 640 , 620 , 820 ,26,38
2018,35-39, 20 , 100 , 110 , 490 , 470 , 600 ,19,22
2018,40-49, 20 , 130 , 150 , 650 , 630 , 790 ,12,13
2018,50-59, 10 , 80 , 90 , 380 , 370 , 470 ,7,8
2018,60 or over, 10 , 60 , 70 , 240 , 230 , 310 ,3,5
2018,All ages [note 2], 160 , 920 ," 1,050 "," 4,120 "," 3,990 "," 5,200 ",14,19
2017,Under 20, - , 60 , 60 , 180 , 170 , 240 ,19,92
2017,20-24, 30 , 150 , 170 , 680 , 660 , 850 ,30,65
2017,25-29, 30 , 180 , 200 , 750 , 720 , 960 ,29,40
2017,30-34, 40 , 150 , 170 , 580 , 560 , 760 ,24,34
2017,35-39, 20 , 90 , 100 , 490 , 480 , 600 ,19,21
2017,40-49, 20 , 120 , 150 , 620 , 600 , 770 ,12,13
2017,50-59, 10 , 80 , 80 , 380 , 370 , 470 ,7,8
2017,60 or over, 10 , 60 , 70 , 230 , 220 , 300 ,3,5
2017,All ages [note 2], 170 , 880 ," 1,010 "," 3,930 "," 3,810 "," 4,990 ",14,19
2016,Under 20, 10 , 40 , 50 , 190 , 180 , 230 ,18,84
2016,20-24, 30 , 160 , 190 , 760 , 720 , 950 ,33,74
2016,25-29, 40 , 170 , 220 , 810 , 770 ," 1,020 ",31,48
2016,30-34, 20 , 100 , 130 , 640 , 610 , 760 ,24,34
2016,35-39, 20 , 100 , 110 , 490 , 470 , 600 ,20,24
2016,40-49, 30 , 110 , 140 , 750 , 720 , 890 ,14,14
2016,50-59, 10 , 70 , 80 , 390 , 380 , 470 ,7,8
2016,60 or over, 10 , 40 , 50 , 280 , 270 , 330 ,4,6
2016,All ages [note 2], 170 , 800 ," 1,000 "," 4,390 "," 4,190 "," 5,360 ",15,20
2015,Under 20, - , 40 , 60 , 160 , 150 , 210 ,10,62
2015,20-24, 30 , 160 , 220 , 790 , 740 , 990 ,35,80
2015,25-29, 40 , 170 , 230 , 800 , 750 ," 1,010 ",32,54
2015,30-34, 10 , 120 , 160 , 590 , 560 , 720 ,23,36
2015,35-39, 10 , 70 , 90 , 440 , 420 , 520 ,17,18
2015,40-49, 30 , 120 , 170 , 700 , 660 , 850 ,13,13
2015,50-59, - , 70 , 90 , 370 , 350 , 440 ,7,8
2015,60 or over, - , 50 , 60 , 200 , 190 , 250 ,3,5
2015,All ages [note 2], 130 , 810 ," 1,090 "," 4,140 "," 3,860 "," 5,080 ",13,19
2014,Under 20, 10 , 50 , 70 , 210 , 190 , 260 ,20,90
2014,20-24, 40 , 140 , 210 , 840 , 770 ," 1,020 ",36,78
2014,25-29, 30 , 130 , 190 , 750 , 690 , 910 ,30,48
2014,30-34, 20 , 110 , 150 , 580 , 540 , 710 ,23,29
2014,35-39, 20 , 70 , 100 , 380 , 360 , 480 ,16,19
2014,40-49, 20 , 100 , 140 , 660 , 620 , 790 ,12,12
