id,country,description,designation,points,price,province,region_1,region_2,variety,winery
1,France,"This is the top wine from La BÈgude, named after the highest point in the vineyard at 1200 feet. It has structure, density and considerable acidity that is still calming down. With 18 months in wood, the wine has developing an extra richness and concentration. Produced by the Tari family, formerly of Ch‚teau Giscours in Margaux, it is a wine made for aging. Drink from 2020.",La Br‡ªlade,95,66,Provence,Bandol,Provence_Alpes_Cotes_d_Azur,Provence red blend,Domaine de la BÈgude
2,France,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,Ch‚teau Montus Prestige,95,90,Southwest France,Madiran,Nouvelle_Aquitaine,Tannat,Vignobles Brumont
3,France,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,95,290,Southwest France,Cahors,Occitanie,Malbec,Ch‚teau LagrÈzette
4,France,"Gingery spice notes accent fresh pear and melon fruit in this medium- to full-bodied wine. It's round on the palate but not flabby, with a warm, spicy finish. Drink now.",,90,60,RhÙne Valley,Ch‚teauneuf-du-Pape,Nouvelle_Aquitaine,RhÙne-style White Blend,Clos de L'Oratoire des Papes
5,France,"Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now‚Äì2025.",Coteaux,90,69,RhÙne Valley,Cornas,Nouvelle_Aquitaine,Syrah,Tardieu-Laurent
6,France,"This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017.",,90,68,Burgundy,Chassagne-Montrachet,Bourgogne_Franche_Comte,Chardonnay,Chartron et TrÈbuchet
7,France,"This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017.",Les 7 Hommes,90,42,Loire Valley,Sancerre,Centre_Val_de_Loire,Sauvignon Blanc,Cherrier FrËres
8,France,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.",L'InÈdit,90,28,Loire Valley,Coteaux du Giennois,Centre_Val_de_Loire,Pinot Noir,Clement et Florian Berthier
9,France,"Delicious while also young and textured, this wine comes from biodynamically grown grapes. It has a strong sense of minerality as well as intense citrus and green fruits. It's tight at the moment and needs to round out, so drink from 2018.",Le PavÈ,90,,Loire Valley,Sancerre,Centre_Val_de_Loire,Sauvignon Blanc,Domaine Vacheron
10,France,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",L'Homme Mort Premier Cru,91,45,Burgundy,Chablis,Bourgogne_Franche_Comte,Chardonnay,Domaine CheneviËres
